"alertId","machineId","firstActivity","domains"
"ALT1000-0","machine-76","2026-03-08T08:05:11.385954+00:00","evil-download.org"
"ALT1000-0","machine-76","2026-03-08T08:05:11.385954+00:00","suspicious-link.co"
"ALT1000-1","machine-100","2026-03-08T08:04:11.385954+00:00","phishing-site.net"
"ALT1000-1","machine-100","2026-03-08T08:04:11.385954+00:00","trojan-host.biz"
"ALT1000-2","machine-12","2026-03-08T07:56:11.385954+00:00","trojan-host.biz"
"ALT1000-2","machine-12","2026-03-08T07:56:11.385954+00:00","phishing-site.net"
"ALT1000-3","machine-34","2026-03-08T08:42:11.385954+00:00","malicious-domain.com"
"ALT1000-4","machine-21","2026-03-07T06:11:45.120954+00:00","secure-login-check.net"
"ALT1000-4","machine-21","2026-03-07T06:11:45.120954+00:00","verify-account365.com"
"ALT1000-5","machine-03","2026-03-06T12:15:01.385954+00:00","cred-steal.io"
"ALT1000-6","machine-55","2026-03-05T02:33:19.385954+00:00","c2-control.net"
"ALT1000-7","machine-88","2026-03-04T10:04:55.385954+00:00","decrypt-now.biz"
"ALT1000-8","machine-14","2026-03-03T14:40:12.385954+00:00","update-service.cc"
"ALT1000-9","machine-09","2026-03-02T07:22:18.385954+00:00","dropdata-transfer.net"
