"alertId","machineId","firstActivity","fileHashes"
"ALT1000-0","machine-76","2026-03-08T08:05:11.385954+00:00","5d41402abc4b2a76b9719d911017c592"
"ALT1000-1","machine-100","2026-03-08T08:04:11.385954+00:00","5d41402abc4b2a76b9719d911017c592"
"ALT1000-2","machine-12","2026-03-08T07:56:11.385954+00:00","7d865e959b2466918c9863afca942d0fb89d7c9ac0c99bafc3749504ded97730"
"ALT1000-3","machine-34","2026-03-08T08:42:11.385954+00:00","7d865e959b2466918c9863afca942d0fb89d7c9ac0c99bafc3749504ded97730"
"ALT1000-3","machine-34","2026-03-08T08:42:11.385954+00:00","d41d8cd98f00b204e9800998ecf8427e"
"ALT1000-4","machine-21","2026-03-07T06:11:45.120954+00:00","7d793037a0760186574b0282f2f435e7"
"ALT1000-5","machine-03","2026-03-06T12:15:01.385954+00:00","9e107d9d372bb6826bd81d3542a419d6"
"ALT1000-6","machine-55","2026-03-05T02:33:19.385954+00:00","3c59dc048e8850243be8079a5c74d079"
"ALT1000-7","machine-88","2026-03-04T10:04:55.385954+00:00","b6d767d2f8ed5d21a44b0e5886680cb9"
"ALT1000-8","machine-14","2026-03-03T14:40:12.385954+00:00","1ff1de774005f8da13f42943881c655f"
"ALT1000-9","machine-09","2026-03-02T07:22:18.385954+00:00","98f13708210194c475687be6106a3b84"
