"alertId","machineId","firstActivity","ips"
"ALT1000-0","machine-76","2026-03-08T08:05:11.385954+00:00","185.220.100.240"
"ALT1000-0","machine-76","2026-03-08T08:05:11.385954+00:00","13.107.42.14"
"ALT1000-1","machine-100","2026-03-08T08:04:11.385954+00:00","192.168.1.100"
"ALT1000-1","machine-100","2026-03-08T08:04:11.385954+00:00","91.189.88.142"
"ALT1000-1","machine-100","2026-03-08T08:04:11.385954+00:00","172.16.5.23"
"ALT1000-2","machine-12","2026-03-08T07:56:11.385954+00:00","13.107.42.14"
"ALT1000-3","machine-34","2026-03-08T08:42:11.385954+00:00","10.0.0.15"
"ALT1000-3","machine-34","2026-03-08T08:42:11.385954+00:00","192.168.1.100"
"ALT1000-3","machine-34","2026-03-08T08:42:11.385954+00:00","172.16.5.23"
"ALT1000-4","machine-21","2026-03-07T06:11:45.120954+00:00","91.189.91.23"
"ALT1000-4","machine-21","2026-03-07T06:11:45.120954+00:00","45.77.65.211"
"ALT1000-5","machine-03","2026-03-06T12:15:01.385954+00:00","103.24.120.11"
"ALT1000-6","machine-55","2026-03-05T02:33:19.385954+00:00","185.199.108.153"
"ALT1000-6","machine-55","2026-03-05T02:33:19.385954+00:00","104.21.44.12"
"ALT1000-7","machine-88","2026-03-04T10:04:55.385954+00:00","176.31.45.88"
"ALT1000-8","machine-14","2026-03-03T14:40:12.385954+00:00","64.227.120.44"
"ALT1000-9","machine-09","2026-03-02T07:22:18.385954+00:00","52.174.22.91"
